Year (August),18-19,20-21,22-24,25-29,Per(18-19),Per(20-21),Per(22-24),Per(24-29),College Stu.,Total,Proportion,
2010,9061082,8955364,12745934,21151900,0.512,0.524,0.289,0.146,16103637.05,51914280,0.310196675,
2011,8906076,9198931,12996794,21288458,0.501,0.527,0.311,0.148,16502475.43,52390259,0.314991293,
2012,8769555,9163516,13451335,21390761,0.473,0.54,0.307,0.14,16220564.54,52775167,0.307352216,
2013,8659146,9011869,13704114,21601457,0.466,0.528,0.297,0.133,15736544.51,52976586,0.297047162,
2014,8535567,8875641,13981403,21984548,0.489,0.514,0.296,0.131,15754442.81,53377159,0.295153266,
2015,8454992,8773146,13862737,22451169,0.488,0.533,0.288,0.132,15758145.48,53542044,0.294313483,
2016,8457237,8646605,13661629,22950483,0.505,0.555,0.288,0.132,16033783.37,53715954,0.298492015,
2017,8484309,8554104,13455076,23350464,0.48,0.55,0.284,0.121,15423873.25,53843953,0.286455069,
2018,8568027,8540697,13243520,23513751,0.505,0.546,0.28,0.127,15684506.17,53865995,0.291176394,
2019,8579387,8555147,13071772,23485102,NaN,NaN,NaN,NaN,,,,
2020,8442089,8638326,12978712,23200752,NaN,NaN,NaN,NaN,,,,